m_id,prime,C1,C2,C3,C4,C5,C6,Valence,Arousal,like,u_id
48,lyrics,1,1,-1,2,-2,-1,0,2,0,3
54,popular,2,0,0,2,-2,-1,-1,2,2,3
31,lyrics,-1,1,1,-1,-1,1,0,1,2,3
79,va,2,1,-2,2,-2,1,0,2,2,3
56,va,1,0,0,1,-1,-1,-1,1,0,3
37,lyrics,-1,2,-2,1,2,2,2,1,1,3
93,popular,1,1,-1,-1,-1,1,1,-1,-1,3
89,popular,2,2,-2,-1,1,2,2,-1,2,3
55,popular,1,1,-1,0,-1,1,1,-1,1,3
23,va,1,1,-1,1,1,1,1,1,2,3
41,lyrics,-1,-1,2,2,-2,0,-2,2,2,3
88,none,-2,2,-1,-2,1,1,2,-2,2,3
97,lyrics,1,2,-2,1,0,2,2,1,1,3
99,popular,1,1,-2,1,-1,1,1,1,-1,3
100,va,-1,-1,1,1,2,0,0,-1,-2,3
44,va,1,1,-1,1,-1,2,1,1,1,3
57,lyrics,2,1,-2,2,1,0,1,2,2,3
87,lyrics,1,1,-1,1,2,2,1,1,2,3
25,popular,1,1,-1,-2,1,2,2,-2,2,3
63,lyrics,-1,-1,1,1,-2,-2,-1,1,-1,3
2,lyrics,1,1,-2,1,-1,0,1,1,0,3
30,va,0,0,-2,1,-1,-2,-1,1,0,3
95,va,1,1,-1,1,-1,-1,0,1,1,3
9,va,0,1,-2,-1,-1,-1,0,-1,0,3
71,va,1,1,-2,0,1,1,2,-1,2,3
87,lyrics,2,2,1,1,1,2,1,1,2,5
48,lyrics,2,1,1,2,0,0,1,2,1,5
39,lyrics,0,1,1,-1,-1,1,2,0,1,5
90,popular,1,1,1,2,-2,-2,-1,2,0,5
1,none,-1,0,-1,-2,0,-2,0,0,0,5
72,lyrics,1,2,-1,-2,-1,-2,2,1,1,5
95,va,1,0,1,0,-1,-2,0,1,-1,5
94,va,0,-2,1,-1,-2,2,0,0,2,5
37,lyrics,-2,-2,-2,-2,2,-1,0,0,0,5
23,va,2,1,-2,1,-2,1,1,2,2,5
38,popular,-2,-2,0,-2,-2,-2,0,-2,0,5
11,va,-2,-2,1,-2,-2,0,-1,-1,0,5
18,lyrics,-2,-1,1,0,-2,-1,0,1,0,5
5,lyrics,-2,0,-2,-2,1,2,1,-2,0,5
84,va,1,2,0,1,-2,-1,1,1,1,5
55,popular,1,-1,-2,-1,-1,0,0,1,1,5
6,popular,-1,-2,0,-1,-2,-2,-1,0,-1,5
7,lyrics,-2,-2,1,-1,-2,0,-1,0,0,5
65,none,-2,-2,2,-2,-2,0,-1,-1,0,5
21,va,1,2,-1,0,0,1,1,-1,1,5
63,popular,2,1,1,1,-1,0,0,1,0,6
12,none,0,-1,1,0,-1,-1,-1,0,0,6
44,lyrics,1,1,0,0,0,0,1,0,1,6
48,none,1,0,1,0,0,-1,-1,0,0,6
6,lyrics,-1,-1,1,-1,-1,-2,-1,0,0,6
55,lyrics,1,1,-1,0,1,0,0,0,0,6
71,none,2,2,-1,0,0,1,2,0,2,6
58,va,1,-1,1,1,-1,-1,0,1,0,6
94,lyrics,1,1,1,-1,-1,1,0,-1,1,6
79,lyrics,1,0,-1,1,-1,-1,0,1,0,6
100,none,1,1,0,0,1,-1,0,0,0,6
27,lyrics,1,1,1,0,2,2,1,0,2,6
30,none,1,0,-1,0,-1,-1,0,0,0,6
2,popular,2,0,1,0,0,0,-1,1,0,6
46,lyrics,1,2,-1,0,1,1,2,0,2,6
35,lyrics,1,0,1,0,0,-2,0,1,0,6
96,lyrics,1,1,-2,-1,2,1,2,-1,1,6
45,none,1,0,0,0,-1,0,0,0,0,6
9,none,1,1,1,-1,0,2,1,0,2,6
18,none,1,1,0,1,0,0,0,0,0,6
99,va,0,0,1,0,0,0,0,0,0,6
7,popular,0,-1,1,-1,-1,0,-1,0,1,6
91,popular,1,0,1,0,0,-1,-1,-1,0,6
53,none,2,1,-1,0,0,1,1,0,0,6
85,none,2,0,1,1,-1,0,-1,1,0,6
